FileName_DAPI	FileName_DAPI_flatfield	FileName_Mts	Group_Index	Group_Number	ImageNumber	Intensity_MaxIntensity_Background_Mask	Intensity_MaxIntensity_MaskedMT_image	Intensity_MeanIntensity_Background_Mask	Intensity_MeanIntensity_MaskedMT_image	Intensity_MeanIntensity_Masked_Nuclei	Intensity_MedianIntensity_Background_Mask	Intensity_MedianIntensity_MaskedMT_image	Intensity_MinIntensity_Background_Mask	Intensity_MinIntensity_MaskedMT_image	Intensity_StdIntensity_Background_Mask	Intensity_StdIntensity_MaskedMT_image	Intensity_StdIntensity_Masked_Nuclei	Intensity_TotalArea_Background_Mask	Intensity_TotalArea_MaskedMT_image	Intensity_TotalArea_Masked_Nuclei	Intensity_TotalIntensity_Background_Mask	Intensity_TotalIntensity_MaskedMT_image	Intensity_TotalIntensity_Masked_Nuclei
Image004_ch00.tif	Image005_fh00.tif	Image004_ch01.tif	17	1	17	1.83009	8.42802	1.60971063695	2.49471275275	41.0924364863	1.60182	2.38521	0.0	1.55156	0.0747418	0.454273	11.0112	541	348811	51603	870.853	870183.0	2.12049e+06
Image006_ch00.tif	Image005_fh00.tif	Image006_ch01.tif	18	1	18	1.71595	7.36835	1.60956533332	2.24991176819	52.475765751	1.60182	2.15953	0.0	1.44942	0.0773368	0.376334	12.6174	608	245093	48743	978.616	551438.0	2.55783e+06
Image008_ch00.tif	Image005_fh00.tif	Image008_ch01.tif	19	1	19	1.75097	9.05577	1.59729861305	2.43273418215	48.0736289292	1.59144	2.32166	1.18385	1.58885	0.0480033	0.463851	13.3268	420	306663	45366	670.865	746030.0	2.18091e+06
Image010_ch00.tif	Image005_fh00.tif	Image010_ch01.tif	20	1	20	2.05966	10.1997	1.60552364553	2.49088866664	48.6664669634	1.59144	2.36706	1.1858	1.58625	0.0526282	0.474978	15.7395	1859	257214	40894	2984.67	640691.0	1.99017e+06
Image012_ch00.tif	Image005_fh00.tif	Image012_ch01.tif	21	1	21	1.76913	8.63424	1.61307026663	2.21544797389	38.1910930813	1.60571	2.13619	1.19358	1.50584	0.035401	0.32147	8.99834	5110	338580	56080	8242.79	750106.0	2.14176e+06
Image014_ch00.tif	Image005_fh00.tif	Image014_ch01.tif	22	1	22	1.9118	6.07263	1.60844756207	2.11355391704	32.3937800153	1.59922	2.0428	0.0	1.393	0.0344627	0.258669	10.1901	11530	302882	36648	18545.4	640157.0	1.18717e+06
Image016_ch00.tif	Image005_fh00.tif	Image016_ch01.tif	23	1	23	2.35019	24.0739	1.59816025731	2.31339775012	36.570940813	1.59014	2.22828	0.0	1.59533	0.0679746	0.377616	12.0964	1894	287037	59236	3026.92	664031.0	2.16632e+06
Image018_ch00.tif	Image005_fh00.tif	Image018_ch01.tif	24	1	24	1.6537	8.89494	1.58013022818	2.54377862193	27.4376856529	1.59403	2.45136	0.0	1.63554	0.176476	0.426442	7.49515	82	251337	59587	129.571	639346.0	1.63493e+06
Image020_ch00.tif	Image005_fh00.tif	Image020_ch01.tif	25	1	25	2.54345	8.91569	1.60448352093	2.34344483509	41.8565053728	1.59533	2.26459	0.0	1.53891	0.0399565	0.354658	11.0609	17691	308747	61234	28384.9	723532.0	2.56304e+06
Image022_ch00.tif	Image005_fh00.tif	Image022_ch01.tif	26	1	26	2.58366	15.6316	1.59667631522	2.83604730396	62.5951056098	1.58625	2.66926	0.0	1.75227	0.0402657	0.674045	15.4305	47492	217931	70448	75829.4	618063.0	4.4097e+06
Image024_ch00.tif	Image005_fh00.tif	Image024_ch01.tif	27	1	27	2.19196	7.79248	1.59681018264	2.20235211526	51.1636977644	1.58885	2.12322	1.17607	1.5655	0.0290428	0.342204	16.2699	65376	205743	37977	104393.0	453119.0	1.94304e+06
Image026_ch00.tif	Image005_fh00.tif	Image026_ch01.tif	28	1	28	2.14008	7.91699	1.58948549615	2.1959548263	50.8508601156	1.58106	2.11543	1.1751	1.51556	0.0281816	0.34347	16.5364	79160	204007	38396	125824.0	447990.0	1.95247e+06
Image028_ch00.tif	Image005_fh00.tif	Image028_ch01.tif	29	1	29	1.7847	8.40856	1.59749993846	2.04554403951	24.9501016475	1.58885	1.98962	0.0	1.39494	0.0364841	0.242022	9.12122	12695	307156	42549	20280.3	628301.0	1.0616e+06
Image031_ch00.tif	Image005_fh00.tif	Image031_ch01.tif	30	1	30	2.14527	6.45525	1.5739783026	2.25148512504	73.5195412597	1.57069	2.16861	0.0	1.357	0.0240068	0.358932	16.8371	147414	242488	55805	232026.0	545958.0	4.10276e+06
