FileName_DAPI	FileName_DAPI_flatfield	FileName_Mts	Group_Index	Group_Number	ImageNumber	Intensity_MaxIntensity_Background_Mask	Intensity_MaxIntensity_MaskedMT_image	Intensity_MeanIntensity_Background_Mask	Intensity_MeanIntensity_MaskedMT_image	Intensity_MeanIntensity_Masked_Nuclei	Intensity_MedianIntensity_Background_Mask	Intensity_MedianIntensity_MaskedMT_image	Intensity_MinIntensity_Background_Mask	Intensity_MinIntensity_MaskedMT_image	Intensity_StdIntensity_Background_Mask	Intensity_StdIntensity_MaskedMT_image	Intensity_StdIntensity_Masked_Nuclei	Intensity_TotalArea_Background_Mask	Intensity_TotalArea_MaskedMT_image	Intensity_TotalArea_Masked_Nuclei	Intensity_TotalIntensity_Background_Mask	Intensity_TotalIntensity_MaskedMT_image	Intensity_TotalIntensity_Masked_Nuclei
Image029_ch00.tif	Image005_fh00.tif	Image029_ch01.tif	14	5	74	6.66667	50.0	1.03390004217	9.3774341406	50.9484166501	1.0	8.66667	0.0	1.66667	0.215487	3.78263	11.6143	56028	526880	50210	57927.4	4.94078e+06	2.55812e+06
Image031_ch00.tif	Image005_fh00.tif	Image031_ch01.tif	15	5	75	8.0	45.6667	1.02242908944	8.885524721	40.6287701326	1.0	8.0	0.0	0.0	0.167216	4.4043	10.1408	149299	437280	42903	152648.0	3.88546e+06	1.7431e+06
Image004_ch00.tif	Image005_fh00.tif	Image004_ch01.tif	1	6	76	7.33333	59.0	1.0426790559	10.3555158403	34.7584416614	1.0	9.0	0.0	1.66667	0.174106	5.51035	15.4924	241796	341598	29963	252116.0	3.53742e+06	1.04147e+06
Image006_ch00.tif	Image005_fh00.tif	Image006_ch01.tif	2	6	77	7.66667	59.3333	1.62804216046	12.7632185919	66.765206435	1.0	11.3333	0.0	0.0	0.923544	5.44869	17.1768	53624	440062	54763	87302.1	5.61661e+06	3.65626e+06
Image008_ch00.tif	Image005_fh00.tif	Image008_ch01.tif	3	6	78	10.0	54.0	1.07224240192	12.8073624475	48.7140308883	1.0	11.3333	0.0	2.33333	0.37024	5.66215	11.2556	58115	483888	54519	62313.4	6.19733e+06	2.65584e+06
Image010_ch00.tif	Image005_fh00.tif	Image010_ch01.tif	4	6	79	76.0	56.3333	1.04361467859	12.308788586	40.0572766266	1.0	10.6667	0.0	1.66667	0.996408	6.73184	10.3107	264971	379185	59217	276528.0	4.66731e+06	2.37207e+06
Image012_ch00.tif	Image005_fh00.tif	Image012_ch01.tif	5	6	80	7.33333	56.0	1.02406725102	9.46389022732	51.1552324614	1.0	8.33333	0.0	1.66667	0.174563	4.69362	10.945	158979	464888	48094	162805.0	4.39965e+06	2.46026e+06
Image014_ch00.tif	Image005_fh00.tif	Image014_ch01.tif	6	6	81	6.0	59.3333	1.01378510608	9.34508647299	43.3252001131	1.0	8.33333	0.0	1.33333	0.118899	4.32234	10.1988	232741	487898	45974	235949.0	4.55945e+06	1.99183e+06
Image016_ch00.tif	Image005_fh00.tif	Image016_ch01.tif	7	6	82	6.66667	51.0	1.04602844144	9.94080990367	44.1377887318	1.0	9.0	0.0	2.0	0.23645	4.02822	9.12366	42682	454054	70091	44646.6	4.51366e+06	3.09366e+06
Image019_ch00.tif	Image005_fh00.tif	Image019_ch01.tif	8	6	83	7.66667	50.6667	1.02826989117	10.1249773314	54.6531440545	1.0	9.0	0.0	1.33333	0.204325	5.32487	11.3282	154189	330854	52973	158548.0	3.34989e+06	2.89514e+06
Image021_ch00.tif	Image005_fh00.tif	Image021_ch01.tif	9	6	84	7.33333	54.0	1.02823037351	10.0658515458	56.5198498113	1.0	9.0	0.0	0.0	0.19229	4.65206	12.317	83379	481401	62255	85732.8	4.84571e+06	3.51864e+06
Image023_ch00.tif	Image005_fh00.tif	Image023_ch01.tif	10	6	85	5.66667	55.6667	1.04094583142	12.6573886003	53.6365670114	1.0	11.3333	0.0	0.0	0.205841	5.84454	17.5241	137319	476572	48835	142942.0	6.03216e+06	2.61934e+06
Image027_ch00.tif	Image005_fh00.tif	Image027_ch01.tif	11	6	86	10.0	83.3333	1.35043101876	14.6913413912	54.4844595562	1.0	12.6667	0.0	2.0	0.655852	7.09196	12.8555	171360	421950	69850	231410.0	6.19901e+06	3.80574e+06
Image029_ch00.tif	Image005_fh00.tif	Image029_ch01.tif	12	6	87	9.66667	58.3333	1.35871783358	11.6944617868	37.8300426974	1.0	10.0	0.0	1.66667	0.574014	5.99344	14.4548	81636	382813	50003	110920.0	4.47679e+06	1.89162e+06
Image031_ch00.tif	Image005_fh00.tif	Image031_ch01.tif	13	6	88	6.66667	56.0	1.25484379383	11.1543156874	36.2794089104	1.0	9.66667	0.75	0.0	0.572986	5.78435	10.6692	49906	422760	66978	62624.2	4.7156e+06	2.42992e+06
Image033_ch00.tif	Image005_fh00.tif	Image033_ch01.tif	14	6	89	6.33333	54.3333	1.11425270275	9.58201831612	52.3399468622	1.0	8.0	0.0	1.66667	0.351876	5.24933	15.5274	142956	375407	40649	159289.0	3.59716e+06	2.12757e+06
Image035_ch00.tif	Image005_fh00.tif	Image035_ch01.tif	15	6	90	8.66667	59.6667	2.07918431508	12.9002682006	47.0152959235	2.0	11.6667	0.0	2.0	0.766669	5.43318	13.9167	114210	461222	84042	237464.0	5.94989e+06	3.95126e+06
Image002_ch00.tif	Image005_fh00.tif	Image002_ch01.tif	1	7	91	5.0	17.0	1.00778592637	4.68377480471	46.250390858	1.0	4.33333	0.0	1.0	0.0640198	1.60748	11.7412	53213	501165	62043	53627.3	2.34734e+06	2.86951e+06
Image004_ch00.tif	Image005_fh00.tif	Image004_ch01.tif	2	7	92	2.75	17.0	1.00540958572	3.97900713035	44.0231021871	1.0	3.66667	0.0	0.0	0.0499512	1.4883	11.5617	286979	426627	53588	288531.0	1.69755e+06	2.35911e+06
Image007_ch00.tif	Image005_fh00.tif	Image007_ch01.tif	3	7	93	2.66667	19.3333	1.01325657227	4.08751021677	38.2576541422	1.0	4.0	0.0	1.0	0.0701296	1.45751	9.54149	266118	455134	56636	269646.0	1.86036e+06	2.16676e+06
Image009_ch00.tif	Image005_fh00.tif	Image009_ch01.tif	4	7	94	3.33333	25.3333	1.0171963036	3.93909249081	49.2837883735	1.0	3.66667	0.0	1.33333	0.0836072	1.43534	14.0441	168610	424453	41956	171509.0	1.67196e+06	2.06775e+06
Image011_ch00.tif	Image005_fh00.tif	Image011_ch01.tif	5	7	95	3.0	14.0	1.07975407441	4.14297059218	27.5613053411	1.0	4.0	0.0	1.33333	0.148489	1.22758	8.87375	113360	552166	54932	122401.0	2.28761e+06	1.514e+06
Image013_ch00.tif	Image005_fh00.tif	Image013_ch01.tif	6	7	96	3.33333	22.3333	1.24960353053	5.58706913373	40.5573886382	1.33333	5.33333	0.0	1.66667	0.240715	1.76282	11.3388	32750	532996	62948	40924.5	2.97789e+06	2.55301e+06
Image016_ch00.tif	Image005_fh00.tif	Image016_ch01.tif	7	7	97	3.33333	18.3333	1.00328372283	4.6251763566	37.8233282433	1.0	4.33333	0.0	1.66667	0.0420588	1.4669	12.5922	96739	529467	47151	97056.7	2.44888e+06	1.78341e+06
Image018_ch00.tif	Image005_fh00.tif	Image018_ch01.tif	8	7	98	3.33333	16.6667	1.00739352588	3.98209071818	50.5979051727	1.0	3.66667	0.0	1.0	0.055638	1.55918	12.1088	258537	414757	54014	260449.0	1.6516e+06	2.733e+06
